;row_ID;Lab_ID;year;vineyard;plant_cover;sand;SOM_perc;CN;h2o_perc;pH;Microbial_biomass;basal_res;Cu_mg_kg;Herbicide
103.16;103;103_16;2016;3;80.50;28.94;6.78;8.13;25.60;7.2;805.93;3.97;20.22;no
104.16;104;104_16;2016;4;1.50;21.60;5.57;7.27;27.36;7.19;462.72;2.83;27.68;yes
107.16;107;107_16;2016;7;28.50;32.76;2.81;8.39;17.71;7.49;440.43;2.54;22.41;no
108.16;108;108_16;2016;8;2.75;43.39;8.50;12.35;36.97;7.36;217.65;4.79;109.9;yes
109.16;109;109_16;2016;9;26.50;39.46;6.16;12.35;13.39;7.35;765.36;4.67;110.6;no
110.16;110;110_16;2016;10;14.00;32.09;4.68;10.68;18.89;7.3;341.90;3.25;64.36;yes
111.16;111;111_16;2016;11;23.00;31.42;8.11;10.96;24.17;7.13;787.56;5.74;179.2;no
112.16;112;112_16;2016;12;5.00;44.02;10.49;10.52;28.31;6.95;423.71;3.62;134.1;yes
115.16;115;115_16;2016;15;66.00;56.52;14.21;13.21;26.55;7.2;1165.07;6.91;77.67;no
116.16;116;116_16;2016;16;0.25;44.96;7.99;13.46;23.81;6.99;389.41;2.90;165.5;yes
119.16;119;119_16;2016;19;84.00;46.68;7.55;8.44;21.63;7.18;1136.15;4.90;38.69;no
121.16;121;121_16;2016;21;16.00;56.65;4.16;13.44;17.93;7.1;289.58;3.28;53.88;yes
122.16;122;122_16;2016;22;1.00;47.40;8.62;12.37;26.54;7.11;583.44;4.26;77.86;yes
123.16;123;123_16;2016;23;80.25;63.29;6.56;13.14;26.46;7.01;609.93;4.98;47.53;no
125.16;125;125_16;2016;25;12.50;36.79;4.05;11.78;19.88;7.16;253.72;2.31;82.17;yes
126.16;126;126_16;2016;26;0.25;55.62;23.22;17.88;41.64;6.56;904.54;7.80;260.1;yes
127.16;127;127_16;2016;27;51.00;46.56;25.35;16.56;38.89;6.79;1163.63;11.19;259.5;no
130.16;130;130_16;2016;30;46.25;22.63;5.30;10.27;18.56;6.75;607.32;3.18;45.33;no
131.16;131;131_16;2016;31;7.75;15.29;7.38;9.75;27.08;5.36;252.25;2.59;118.9;yes
203.16;203;203_16;2016;3;90.50;28.94;6.59;9.70;25.62;7;869.12;3.82;15.01;no
204.16;204;204_16;2016;4;6.00;21.60;5.71;8.86;27.52;7.16;378.61;2.38;28.01;yes
207.16;207;207_16;2016;7;10.75;32.76;3.03;9.78;19.17;7.51;344.47;3.05;19.78;no
208.16;208;208_16;2016;8;13.50;43.39;1.63;7.88;16.38;7.51;175.59;1.92;29.08;yes
209.16;209;209_16;2016;9;15.00;39.46;5.46;12.46;13.73;7.36;571.67;4.50;120.2;no
210.16;210;210_16;2016;10;4.25;32.09;3.82;12.02;16.73;7.42;347.09;3.23;53.03;yes
211.16;211;211_16;2016;11;28.75;31.42;5.31;10.84;20.67;7.29;442.32;2.88;126.6;no
212.16;212;212_16;2016;12;2.25;44.02;4.88;9.95;21.14;7.25;211.12;2.08;121.4;yes
215.16;215;215_16;2016;15;48.50;56.52;12.32;14.19;24.39;7.28;874.59;4.60;95.57;no
216.16;216;216_16;2016;16;1.00;44.96;9.62;19.62;23.07;7.14;468.57;3.10;108;yes
219.16;219;219_16;2016;19;67.25;46.68;6.85;8.75;27.68;7.18;1011.81;4.80;39.57;no
221.16;221;221_16;2016;21;5.50;56.65;5.00;15.72;18.43;7.36;336.06;2.59;46.94;yes
222.16;222;222_16;2016;22;2.00;47.40;11.33;13.05;25.98;7.06;512.49;4.26;53.52;yes
223.16;223;223_16;2016;23;60.00;63.29;5.58;11.79;18.17;7.25;651.37;3.58;41.46;no
